Trt	NumPop	Type	Demog	Envi	SET	NumInd	DataSetNames	GoodBFfile	numNeut	numSel	xtx.999perc	bf.999perc	rho.999perc	xtx.FPR	bf.FPR	rho.FPR	xtx.TPR	bf.TPR	rho.TPR	cpname	K5.999perc	KTW.999perc	KTW	Lq.K.5.FPR	Lq.K.TW.FPR	L.empQ.K.5.FPR	L.empQ.K.TW.FPR	Lq.K.5.TPR	Lq.K.TW.TPR	L.empQ.K.5.TPR	L.empQ.K.TW.TPR	pca.FPR.K10S	pca.TPR.K10S	pca.commonSelFactor.K10S	pca.NumLocicommonSelFactor.K10S	pca.FPR.K20S	pca.TPR.K20S	pca.commonSelFactor.K20S	pca.NumLocicommonSelFactor.K20S	pca.FPR.K10NS	pca.TPR.K10NS	pca.commonSelFactor.K10NS	pca.NumLocicommonSelFactor.K10NS	Vall.none	Vall.pcadapt	Vall.lfmm	Vall.lfmm.pcadapt	Vall.bf	Vall.bf.pcadapt	Vall.bf.lfmm	Vall.bf.lfmm.pcadapt	Vall.xtx	Vall.xtx.pcadapt	Vall.xtx.lfmm	Vall.xtx.lfmm.pcadapt	Vall.xtx.bf	Vall.xtx.bf.pcadapt	Vall.xtx.bf.lfmm	Vall.xtx.bf.lfmm.pcadapt	Vs.weak.none	Vs.weak.pcadapt	Vs.weak.lfmm	Vs.weak.lfmm.pcadapt	Vs.weak.bf	Vs.weak.bf.pcadapt	Vs.weak.bf.lfmm	Vs.weak.bf.lfmm.pcadapt	Vs.weak.xtx	Vs.weak.xtx.pcadapt	Vs.weak.xtx.lfmm	Vs.weak.xtx.lfmm.pcadapt	Vs.weak.xtx.bf	Vs.weak.xtx.bf.pcadapt	Vs.weak.xtx.bf.lfmm	Vs.weak.xtx.bf.lfmm.pcadapt	Vs.strong.none	Vs.strong.pcadapt	Vs.strong.lfmm	Vs.strong.lfmm.pcadapt	Vs.strong.bf	Vs.strong.bf.pcadapt	Vs.strong.bf.lfmm	Vs.strong.bf.lfmm.pcadapt	Vs.strong.xtx	Vs.strong.xtx.pcadapt	Vs.strong.xtx.lfmm	Vs.strong.xtx.lfmm.pcadapt	Vs.strong.xtx.bf	Vs.strong.xtx.bf.pcadapt	Vs.strong.xtx.bf.lfmm	Vs.strong.xtx.bf.lfmm.pcadapt	NotFound	GEAonly	FSTonly	Both	rda_veganv2.4-3_empQ_TP	rda_veganv2.4-3_empQ_TPR	dbrda_veganv2.4-3_empQ_TP	dbrda_veganv2.4-3_empQ_TPR	rda_veganv2.4-3_empP_001_TPR	rda_veganv2.4-3_empP_005_TPR	rda_veganv2.4-3_empP_01_TPR	rda_veganv2.4-3_empP_1_TPR	dbda_veganv2.4-3_empP_001_TPR	dbrda_veganv2.4-3_empP_005_TPR	dbrda_veganv2.4-3_empP_01_TPR	dbrda_veganv2.4-3_empP_1_TPR	rda_TPR_3SD	rda_FPR_3SD	rda_FDR_3SD	rda_TPR_001_3SD	rda_TPR_005_3SD	rda_TPR_01_3SD	rda_TPR_1_3SD	rda_TPR_25SD	rda_FPR_25SD	rda_FDR_25SD	rda_TPR_001_25SD	rda_TPR_005_25SD	rda_TPR_01_25SD	rda_TPR_1_25SD	dbrda_TPR_3SD	dbrda_FPR_3SD	dbrda_FDR_3SD	dbrda_TPR_001_3SD	dbrda_TPR_005_3SD	dbrda_TPR_01_3SD	dbrda_TPR_1_3SD	dbrda_TPR_25SD	dbrda_FPR_25SD	dbrda_FDR_25SD	dbrda_TPR_001_25SD	dbrda_TPR_005_25SD	dbrda_TPR_01_25SD	dbrda_TPR_1_25SD
P90	90	Pair	1R	1351142954_453	1	20	1R_P90_1351142954_453_1_NumPops=90_NumInd=20.bayenv	TRUE	9900	96	121.64	0.696600993	0.20097	0.00010101	0.00010101	0.00010101	0.760416667	0.760416667	0.385416667	../LFMMBayenv2PCAdaptResults/1R_P90_1351142954_453_1_NumPops=90_NumInd=20Bayenv2LFMMpca.Cpval	16.2171	2.78379	33	0.613131313	0	0.00010101	0.00010101	0.927083333	0.739583333	0.71875	0.8125	0.00010101	0.541666667	6	79	0.00010101	0.364583333	5	78	0.00010101	0.5625	10	72	16	0	4	0	0	0	3	0	1	0	2	0	1	0	17	52	11	0	3	0	0	0	3	0	1	0	2	0	0	0	13	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	16	7	1	72	81	0.84375	67	0.697916667	NA	0.760869565	0.891891892	1	NA	0.565217391	0.756756757	1	0.864583333	0.00010101	0.011904762	NA	0.804347826	0.891891892	1	0.864583333	0.001515152	0.153061224	NA	0.804347826	0.891891892	1	0.770833333	0.00040404	0.051282051	NA	0.673913043	0.810810811	1	0.802083333	0.001919192	0.197916667	NA	0.739130435	0.810810811	1
P90	90	Pair	2R	1351142954_453	2	20	2R_P90_1351142954_453_2_NumPops=90_NumInd=20.bayenv	TRUE	9900	100	119.02	0.120310643	0.16777	0.00010101	0.00010101	0.00010101	0.85	0.88	0.37	../LFMMBayenv2PCAdaptResults/2R_P90_1351142954_453_2_NumPops=90_NumInd=20Bayenv2LFMMpca.Cpval	13.428	3.74099	27	0.55969697	0.000808081	0.00010101	0.00010101	0.95	0.93	0.91	0.9	0.00010101	0.68	7	91	0.00010101	0.8	8	88	0.00010101	0.86	7	91	8	0	0	0	0	0	7	0	1	0	3	0	1	0	12	68	7	0	0	0	0	0	7	0	1	0	2	0	0	0	10	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	8	7	1	84	94	0.94	92	0.92	NA	0.9	0.973684211	1	NA	0.88	0.947368421	1	0.93	0	0	NA	0.88	0.973684211	1	0.94	0	0	NA	0.9	0.973684211	1	0.88	0	0	NA	0.82	0.921052632	1	0.91	0	0	NA	0.86	0.947368421	1
P90	90	Pair	IBD	1351142954_453	3	20	IBD_P90_1351142954_453_3_NumPops=90_NumInd=20.bayenv	TRUE	9900	100	125.19	1.033544376	0.16842	0.00020202	0.00010101	0.00010101	0.99	0.37	0.07	../LFMMBayenv2PCAdaptResults/IBD_P90_1351142954_453_3_NumPops=90_NumInd=20Bayenv2LFMMpca.Cpval	12.3854	5.27017	25	0.564444444	0.041212121	0.00020202	0.00010101	1	0.99	1	0.94	0.00020202	1	7	100	0.00010101	0.97	15	99	0.00020202	0.98	7	100	0	1	0	0	0	0	0	0	0	5	0	57	0	0	0	37	0	1	0	0	0	0	0	0	0	5	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	6	94	100	1	100	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	0.00010101	0.00990099	1	1	1	1	1	0	0	1	1	1	1	1	0.00020202	0.019607843	1	1	1	1
P90	90	Pair	IM	1351142954_453	4	20	IM_P90_1351142954_453_4_NumPops=90_NumInd=20.bayenv	TRUE	9900	100	120.37	0.77662129	0.21687	0.00010101	0.00010101	0.00010101	0.44	0.72	0.5	../LFMMBayenv2PCAdaptResults/IM_P90_1351142954_453_4_NumPops=90_NumInd=20Bayenv2LFMMpca.Cpval	7.36138	7.36138	5	0.160808081	0.160808081	0.00010101	0.00010101	1	1	0.84	0.84	0.00010101	0.62	7	100	0.00010101	0.63	2	100	0.00010101	0.66	4	100	15	0	12	0	0	0	10	19	1	0	0	0	0	0	0	43	15	0	12	0	0	0	10	10	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	15	22	1	62	76	0.76	85	0.85	NA	0.5	1	1	NA	0.6875	1	1	0.79	0.00010101	0.0125	NA	0.5625	1	1	0.93	0.00030303	0.03125	NA	0.854166667	1	1	0.83	0	0	NA	0.645833333	1	1	0.92	0.000707071	0.070707071	NA	0.833333333	1	1
P90	90	Pair	1R	1351142970_988	5	20	1R_P90_1351142970_988_5_NumPops=90_NumInd=20.bayenv	TRUE	9900	100	124.7	0.000390689	0.15873	0.00010101	0.00010101	0.00010101	0.6	0.72	0.5	../LFMMBayenv2PCAdaptResults/1R_P90_1351142970_988_5_NumPops=90_NumInd=20Bayenv2LFMMpca.Cpval	17.5611	2.42968	33	0.633232323	0	0.00010101	0.00010101	0.87	0.54	0.65	0.7	0.00010101	0.55	5	68	0.00010101	0.13	1	75	0.00010101	0.48	4	68	23	0	4	1	5	0	7	0	0	0	0	0	0	2	6	52	15	0	4	1	4	0	6	0	0	0	0	0	0	1	4	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	23	16	0	61	75	0.75	65	0.65	NA	0.698113208	0.735294118	1	NA	0.547169811	0.676470588	1	0.77	0.00040404	0.049382716	NA	0.716981132	0.764705882	1	0.81	0.003030303	0.27027027	NA	0.79245283	0.764705882	1	0.69	0.000808081	0.103896104	NA	0.622641509	0.676470588	1	0.74	0.004141414	0.356521739	NA	0.679245283	0.735294118	1
P90	90	Pair	2R	1351142970_988	6	20	2R_P90_1351142970_988_6_NumPops=90_NumInd=20.bayenv	TRUE	9900	100	117.71	-0.293982431	0.13659	0.00010101	0.00010101	0.00010101	0.85	0.85	0.66	../LFMMBayenv2PCAdaptResults/2R_P90_1351142970_988_6_NumPops=90_NumInd=20Bayenv2LFMMpca.Cpval	13.4821	3.03056	29	0.566666667	0	0.00010101	0.00010101	0.96	0.8	0.89	0.87	0.00010101	0.89	7	94	0.00010101	0.62	8	88	0.00010101	0.82	1	92	8	1	2	1	0	0	0	3	1	1	0	1	0	2	0	80	5	1	2	1	0	0	0	3	1	1	0	1	0	2	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	8	2	3	87	91	0.91	85	0.85	NA	0.88	0.921052632	1	NA	0.8	0.868421053	1	0.91	0.00020202	0.021505376	NA	0.88	0.921052632	1	0.94	0.001414141	0.12962963	NA	0.94	0.921052632	1	0.88	0.00030303	0.032967033	NA	0.82	0.921052632	1	0.91	0.001414141	0.133333333	NA	0.88	0.921052632	1
P90	90	Pair	IBD	1351142970_988	7	20	IBD_P90_1351142970_988_7_NumPops=90_NumInd=20.bayenv	TRUE	9900	100	122.91	1.038699623	0.15169	0.00020202	0.00010101	0.00010101	1	0.3	0.07	../LFMMBayenv2PCAdaptResults/IBD_P90_1351142970_988_7_NumPops=90_NumInd=20Bayenv2LFMMpca.Cpval	9.85796	4.78102	26	0.368686869	0.015353535	0.00010101	0.00010101	1	1	0.08	0.9	0.00020202	0.99	7	101	0.00010101	0.94	16	100	0.00020202	1	4	100	0	0	0	0	0	0	0	0	1	9	0	60	0	0	0	30	0	0	0	0	0	0	0	0	1	9	0	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	10	90	100	1	100	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	0.00010101	0.00990099	1	1	1	1	1	0	0	1	1	1	1	1	0.00010101	0.00990099	1	1	1	1
P90	90	Pair	IM	1351142970_988	8	20	IM_P90_1351142970_988_8_NumPops=90_NumInd=20.bayenv	TRUE	9900	100	117.46	0.626709823	0.18057	0.00010101	0.00010101	0.00010101	0.31	0.66	0.59	../LFMMBayenv2PCAdaptResults/IM_P90_1351142970_988_8_NumPops=90_NumInd=20Bayenv2LFMMpca.Cpval	7.94381	7.94381	5	0.167474747	0.167474747	0.00010101	0.00010101	0.99	0.99	0.71	0.71	0.00010101	0.66	5	98	0.00010101	0.53	17	96	0.00010101	0.56	2	96	28	1	4	1	0	0	2	33	0	0	0	0	0	0	0	31	28	1	4	1	0	0	2	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	28	6	1	65	66	0.66	65	0.65	NA	0.291666667	1	1	NA	0.270833333	1	1	0.79	0.00020202	0.024691358	NA	0.5625	1	1	0.86	0.000606061	0.065217391	NA	0.708333333	1	1	0.8	0.00020202	0.024390244	NA	0.583333333	1	1	0.87	0.000505051	0.054347826	NA	0.729166667	1	1
P90	90	Pair	1R	1351142986_950	9	20	1R_P90_1351142986_950_9_NumPops=90_NumInd=20.bayenv	TRUE	9900	96	123.69	0.551718299	0.15742	0.00010101	0.00010101	0.00010101	0.65625	0.71875	0.572916667	../LFMMBayenv2PCAdaptResults/1R_P90_1351142986_950_9_NumPops=90_NumInd=20Bayenv2LFMMpca.Cpval	18.6495	2.70148	34	0.693131313	0	0.00010101	0.00010101	0.854166667	0.604166667	0.666666667	0.729166667	0.00010101	0.625	8	67	0.00010101	0	5	66	0.00010101	0.604166667	3	65	24	0	2	0	1	0	5	1	0	0	0	1	0	1	4	57	13	0	1	0	1	0	4	1	0	0	0	1	0	1	3	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	24	8	0	64	69	0.71875	64	0.666666667	NA	0.6875	0.657142857	1	NA	0.604166667	0.628571429	1	0.739583333	0.00030303	0.040540541	NA	0.708333333	0.685714286	1	0.770833333	0.002727273	0.267326733	NA	0.770833333	0.685714286	1	0.6875	0.00040404	0.057142857	NA	0.645833333	0.628571429	1	0.71875	0.003838384	0.355140187	NA	0.708333333	0.628571429	1
P90	90	Pair	2R	1351142986_950	10	20	2R_P90_1351142986_950_10_NumPops=90_NumInd=20.bayenv	TRUE	9900	99	115.98	-0.011200331	0.13993	0.00010101	0.00010101	0.00010101	0.898989899	0.868686869	0.646464646	../LFMMBayenv2PCAdaptResults/2R_P90_1351142986_950_10_NumPops=90_NumInd=20Bayenv2LFMMpca.Cpval	13.6954	4.58575	29	0.587878788	0.017878788	0.00010101	0.00010101	0.95959596	0.848484848	0.909090909	0.444444444	0.00010101	0.909090909	2	90	0.00010101	0.353535354	3	88	0.00010101	0.848484848	3	89	9	1	0	0	0	0	0	0	0	3	0	0	0	42	0	44	6	1	0	0	0	0	0	0	0	3	0	0	0	25	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	9	0	4	86	91	0.919191919	89	0.898989899	NA	0.88	0.945945946	1	NA	0.86	0.918918919	1	0.909090909	0	0	NA	0.88	0.918918919	1	0.919191919	0.00020202	0.021505376	NA	0.88	0.945945946	1	0.898989899	0	0	NA	0.86	0.918918919	1	0.909090909	0.00030303	0.032258065	NA	0.88	0.918918919	1
