"PairID" "X_Pops" "Y_Pops" "EnviVal" "P90" "P60" "P30"
"1" 1 314 345 5.338468 TRUE TRUE TRUE
"2" 1 334 355 -2.398141 TRUE TRUE TRUE
"3" 2 195 27 -5.565788 TRUE FALSE FALSE
"4" 2 186 16 2.309799 TRUE FALSE FALSE
"5" 3 328 96 -1.681453 TRUE TRUE TRUE
"6" 3 312 85 3.854018 TRUE TRUE TRUE
"7" 4 178 110 -0.8077323 TRUE TRUE TRUE
"8" 4 159 99 4.2799847 TRUE TRUE TRUE
"9" 5 173 329 3.64296 TRUE TRUE FALSE
"10" 5 190 317 -3.174529 TRUE TRUE FALSE
"11" 6 77 158 -0.04609389 TRUE TRUE FALSE
"12" 6 65 140 6.12171711 TRUE TRUE FALSE
"13" 7 130 191 3.551733 TRUE FALSE FALSE
"14" 7 146 202 -1.522598 TRUE FALSE FALSE
"15" 8 271 205 1.65364 TRUE TRUE TRUE
"16" 8 292 215 -3.895852 TRUE TRUE TRUE
"17" 9 84 94 -3.271746 TRUE TRUE TRUE
"18" 9 75 80 3.179743 TRUE TRUE TRUE
"19" 10 170 137 -0.8076296 TRUE FALSE FALSE
"20" 10 161 157 3.9382034 TRUE FALSE FALSE
"21" 11 100 277 3.60294 TRUE TRUE TRUE
"22" 11 116 295 -1.862001 TRUE TRUE TRUE
"23" 12 25 237 3.364904 TRUE TRUE FALSE
"24" 12 40 257 -2.697736 TRUE TRUE FALSE
"25" 13 19 56 -0.7448317 TRUE TRUE TRUE
"26" 13 9 42 5.2719453 TRUE TRUE TRUE
"27" 14 88 126 -3.08096 TRUE FALSE FALSE
"28" 14 70 113 2.830561 TRUE FALSE FALSE
"29" 15 194 211 -0.05453235 TRUE FALSE FALSE
"30" 15 205 197 4.60458865 TRUE FALSE FALSE
"31" 16 51 303 3.534892 TRUE TRUE TRUE
"32" 16 33 323 -3.729724 TRUE TRUE TRUE
"33" 17 342 57 -1.246698 TRUE FALSE FALSE
"34" 17 353 41 4.119826 TRUE FALSE FALSE
"35" 18 331 164 -1.887133 TRUE TRUE FALSE
"36" 18 321 183 2.569911 TRUE TRUE FALSE
"37" 19 282 43 -1.970076 TRUE TRUE FALSE
"38" 19 263 29 3.535567 TRUE TRUE FALSE
"39" 20 270 306 2.51458 TRUE FALSE FALSE
"40" 20 256 296 -3.939893 TRUE FALSE FALSE
"41" 21 181 74 -0.7690637 TRUE TRUE FALSE
"42" 21 162 54 4.8114713 TRUE TRUE FALSE
"43" 22 157 21 -4.936183 TRUE TRUE TRUE
"44" 22 168 5 4.508825 TRUE TRUE TRUE
"45" 23 30 22 -5.385049 TRUE TRUE FALSE
"46" 23 45 4 2.803736 TRUE TRUE FALSE
"47" 24 153 326 3.87135 TRUE TRUE TRUE
"48" 24 137 306 -3.310846 TRUE TRUE TRUE
"49" 25 220 94 -0.2360614 TRUE FALSE FALSE
"50" 25 234 76 6.3793676 TRUE FALSE FALSE
"51" 26 120 22 -3.682986 TRUE TRUE FALSE
"52" 26 140 5 4.504978 TRUE TRUE FALSE
"53" 27 273 68 -2.902219 TRUE TRUE FALSE
"54" 27 255 49 2.41338 TRUE TRUE FALSE
"55" 28 12 134 -3.731287 TRUE FALSE FALSE
"56" 28 23 146 1.421564 TRUE FALSE FALSE
"57" 29 230 310 7.270928 TRUE TRUE FALSE
"58" 29 221 294 -2.173533 TRUE TRUE FALSE
"59" 30 308 280 0.07247016 TRUE TRUE FALSE
"60" 30 289 267 -4.68933384 TRUE TRUE FALSE
"61" 31 346 289 0.8125522 TRUE FALSE FALSE
"62" 31 360 269 -5.7573438 TRUE FALSE FALSE
"63" 32 228 170 -1.771471 TRUE TRUE TRUE
"64" 32 219 151 4.201266 TRUE TRUE TRUE
"65" 33 314 309 4.605138 TRUE TRUE TRUE
"66" 33 299 329 -1.558324 TRUE TRUE TRUE
"67" 34 15 187 2.229338 TRUE FALSE FALSE
"68" 34 4 204 -3.285854 TRUE FALSE FALSE
"69" 35 82 316 2.152199 TRUE TRUE TRUE
"70" 35 65 331 -2.349148 TRUE TRUE TRUE
"71" 36 258 241 0.8878557 TRUE TRUE TRUE
"72" 36 271 227 -5.4062933 TRUE TRUE TRUE
"73" 37 102 76 -0.4188537 TRUE TRUE FALSE
"74" 37 93 56 5.2961513 TRUE TRUE FALSE
"75" 38 283 182 2.059163 TRUE FALSE FALSE
"76" 38 295 171 -2.902566 TRUE FALSE FALSE
"77" 39 124 65 -0.9548689 TRUE FALSE FALSE
"78" 39 139 76 4.7345151 TRUE FALSE FALSE
"79" 40 346 253 -1.760761 TRUE TRUE FALSE
"80" 40 336 234 2.815262 TRUE TRUE FALSE
"81" 41 17 87 -1.483824 TRUE TRUE FALSE
"82" 41 3 107 2.982271 TRUE TRUE FALSE
"83" 42 310 49 -2.928535 TRUE FALSE FALSE
"84" 42 297 59 1.782219 TRUE FALSE FALSE
"85" 43 110 167 -2.701514 TRUE TRUE TRUE
"86" 43 97 147 1.728154 TRUE TRUE TRUE
"87" 44 234 27 -2.092559 TRUE TRUE FALSE
"88" 44 255 7 5.044627 TRUE TRUE FALSE
"89" 45 71 237 -0.006036297 TRUE FALSE FALSE
"90" 45 54 223 4.836888703 TRUE FALSE FALSE
