"pointID" "x" "y" "transectID" "enviVals" "T90.9x10s" "T60.6x10s" "T30.3x10s" "T30.6x5s"
"1" 1 2 358 1 8.130461 TRUE TRUE TRUE TRUE
"2" 2 12 350 1 7.735416 TRUE TRUE TRUE NA
"3" 3 23 344 1 7.368158 TRUE TRUE TRUE TRUE
"4" 4 31 338 1 6.649116 TRUE TRUE TRUE NA
"5" 5 40 332 1 3.498911 TRUE TRUE TRUE TRUE
"6" 6 50 326 1 0.1283825 TRUE TRUE TRUE TRUE
"7" 7 62 314 1 2.561675 TRUE TRUE TRUE NA
"8" 8 72 301 1 1.235599 TRUE TRUE TRUE NA
"9" 9 72 286 1 0.2889906 TRUE TRUE TRUE TRUE
"10" 10 71 268 1 1.696936 TRUE TRUE TRUE NA
"11" 1 222 297 2 7.515144 TRUE NA NA NA
"12" 2 226 292 2 8.859612 TRUE NA NA NA
"13" 3 221 286 2 8.045546 TRUE NA NA NA
"14" 4 211 283 2 6.8945 TRUE NA NA NA
"15" 5 201 280 2 1.086826 TRUE NA NA NA
"16" 6 186 278 2 2.078655 TRUE NA NA NA
"17" 7 171 279 2 1.636839 TRUE NA NA NA
"18" 8 158 278 2 -0.8753398 TRUE NA NA NA
"19" 9 146 274 2 -3.231457 TRUE NA NA NA
"20" 10 137 268 2 0.2129298 TRUE NA NA NA
"21" 1 330 349 3 8.637601 TRUE TRUE TRUE TRUE
"22" 2 326 344 3 8.469814 TRUE TRUE TRUE NA
"23" 3 323 336 3 7.183918 TRUE TRUE TRUE TRUE
"24" 4 317 329 3 3.112871 TRUE TRUE TRUE NA
"25" 5 324 318 3 2.077442 TRUE TRUE TRUE NA
"26" 6 327 310 3 2.78928 TRUE TRUE TRUE TRUE
"27" 7 330 297 3 1.55783 TRUE TRUE TRUE NA
"28" 8 332 284 3 1.572201 TRUE TRUE TRUE TRUE
"29" 9 322 275 3 -0.799722 TRUE TRUE TRUE TRUE
"30" 10 312 277 3 -0.1918623 TRUE TRUE TRUE NA
"31" 1 26 206 4 4.574027 TRUE TRUE TRUE TRUE
"32" 2 28 201 4 4.59813 TRUE TRUE TRUE TRUE
"33" 3 33 188 4 4.044763 TRUE TRUE TRUE NA
"34" 4 44 178 4 0.4381697 TRUE TRUE TRUE TRUE
"35" 5 54 171 4 -0.5264577 TRUE TRUE TRUE NA
"36" 6 61 160 4 -2.141413 TRUE TRUE TRUE NA
"37" 7 68 154 4 -0.4168078 TRUE TRUE TRUE TRUE
"38" 8 73 148 4 -5.038709 TRUE TRUE TRUE NA
"39" 9 81 146 4 -5.690769 TRUE TRUE TRUE TRUE
"40" 10 79 138 4 -4.424668 TRUE TRUE TRUE NA
"41" 1 129 192 5 2.750955 TRUE TRUE NA TRUE
"42" 2 143 197 5 4.234751 TRUE TRUE NA TRUE
"43" 3 154 194 5 4.301014 TRUE TRUE NA TRUE
"44" 4 164 189 5 0.8945931 TRUE TRUE NA NA
"45" 5 176 184 5 -0.111005 TRUE TRUE NA NA
"46" 6 189 178 5 -1.878714 TRUE TRUE NA NA
"47" 7 199 173 5 -0.30429 TRUE TRUE NA NA
"48" 8 209 163 5 -2.840188 TRUE TRUE NA TRUE
